Incident energy,sigma
101.3544,2.024164E-8
101.3749,2.025548E-8
101.3953,2.026926E-8
101.407,2.027715E-8
101.4187,2.028505E-8
101.4304,2.029295E-8
101.442,2.030078E-8
101.4558,2.03101E-8
101.4695,2.031935E-8
101.4832,2.03286E-8
101.4969,2.033784E-8
101.5243,2.035634E-8
101.5517,2.037484E-8
101.5792,2.03934E-8
101.6066,2.04119E-8
101.6614,2.04489E-8
101.7063,2.047921E-8
101.7287,2.049433E-8
101.7511,2.050945E-8
101.7831,2.053106E-8
101.815,2.055259E-8
101.8391,2.056886E-8
101.8632,2.058513E-8
101.9041,2.061274E-8
101.945,2.064035E-8
101.9985,2.067647E-8
102.0253,2.069456E-8
102.052,2.071259E-8
102.0788,2.073068E-8
102.1055,2.074871E-8
102.1323,2.07668E-8
102.159,2.078482E-8
102.1753,2.079583E-8
102.1915,2.080676E-8
102.2239,2.082864E-8
102.2563,2.085051E-8
102.2887,2.087238E-8
102.3073,2.088494E-8
102.3259,2.089749E-8
102.3552,2.091727E-8
102.3699,2.09272E-8
102.3845,2.093705E-8
102.3992,2.094698E-8
102.4138,2.095683E-8
102.4284,2.096669E-8
102.443,2.097655E-8
102.4577,2.098647E-8
102.4723,2.099633E-8
102.4869,2.100618E-8
102.5015,2.101604E-8
102.5162,2.102596E-8
102.5308,2.103582E-8
102.5454,2.104568E-8
102.56,2.105553E-8
102.5808,2.106957E-8
102.6016,2.108362E-8
102.6224,2.109766E-8
102.6431,2.111163E-8
102.6639,2.112567E-8
102.6846,2.113965E-8
102.7261,2.116766E-8
102.7617,2.11917E-8
102.7972,2.121566E-8
102.8369,2.124246E-8
102.8568,2.12559E-8
102.8766,2.126927E-8
102.9049,2.128837E-8
102.9119,2.12931E-8
102.9331,2.130741E-8
102.9543,2.132172E-8
102.9787,2.133819E-8
103.003,2.13546E-8
103.0517,2.138747E-8
103.0951,2.141677E-8
103.1168,2.143142E-8
103.1384,2.1446E-8
103.1601,2.146065E-8
103.1817,2.147523E-8
103.2034,2.148988E-8
103.225,2.150447E-8
103.2505,2.152168E-8
103.276,2.15389E-8
103.3015,2.155611E-8
103.327,2.157333E-8
103.3515,2.158986E-8
103.3759,2.160634E-8
103.4248,2.163935E-8
103.4555,2.166007E-8
103.485,2.167999E-8
103.5144,2.169984E-8
103.5198,2.170348E-8
103.5333,2.17126E-8
103.5467,2.172164E-8
103.5661,2.173474E-8
103.5855,2.174784E-8
103.6242,2.177396E-8
103.6551,2.179482E-8
103.686,2.181568E-8
103.7169,2.183654E-8
103.7477,2.185734E-8
103.7718,2.187361E-8
103.7958,2.188981E-8
103.8198,2.190601E-8
103.8438,2.192221E-8
103.8678,2.193841E-8
103.8918,2.195462E-8
103.9158,2.197082E-8
103.9398,2.198702E-8
103.9535,2.199627E-8
103.9672,2.200552E-8
103.9946,2.202402E-8
104.0244,2.204413E-8
104.0541,2.206418E-8
104.1135,2.210428E-8
104.1288,2.211461E-8
104.1593,2.21352E-8
104.205,2.216605E-8
104.337,2.225517E-8
104.37,2.227744E-8
104.403,2.229972E-8
104.436,2.2322E-8
104.469,2.234428E-8
104.5125,2.237364E-8
104.5343,2.238836E-8
104.556,2.240301E-8
104.5918,2.242718E-8
104.6275,2.245128E-8
104.6454,2.246336E-8
104.6632,2.247538E-8
104.6811,2.248746E-8
104.6989,2.249948E-8
104.7168,2.251156E-8
104.7347,2.252365E-8
104.7526,2.253573E-8
104.7704,2.254775E-8
104.7883,2.255983E-8
104.8061,2.257185E-8
104.824,2.258393E-8
104.8418,2.259595E-8
104.8651,2.261168E-8
104.8884,2.262741E-8
104.9117,2.264314E-8
104.9349,2.26588E-8
104.9815,2.269026E-8
105.028,2.272165E-8
105.0589,2.274251E-8
105.0897,2.276331E-8
105.1205,2.27841E-8
105.1513,2.280489E-8
105.1625,2.281245E-8
105.1849,2.282757E-8
105.2073,2.28427E-8
105.252,2.287287E-8
105.299,2.29046E-8
105.3459,2.293626E-8
105.3929,2.296799E-8
105.4398,2.299966E-8
105.4568,2.301113E-8
105.4909,2.303415E-8
105.5165,2.305143E-8
105.5415,2.306831E-8
105.5539,2.307668E-8
105.5708,2.308809E-8
105.5987,2.310693E-8
105.6265,2.312569E-8
105.6574,2.314655E-8
105.6883,2.316741E-8
105.7192,2.318827E-8
105.7501,2.320913E-8
105.7702,2.32227E-8
105.7903,2.323627E-8
105.8117,2.325072E-8
105.833,2.32651E-8
105.8543,2.327948E-8
105.8756,2.329386E-8
105.9182,2.332262E-8
105.9608,2.335138E-8
106.0009,2.337845E-8
106.041,2.340552E-8
106.0687,2.342422E-8
106.0964,2.344292E-8
106.1005,2.344569E-8
106.1129,2.345406E-8
106.1253,2.346243E-8
106.15,2.34791E-8
106.1748,2.349584E-8
106.1995,2.351252E-8
106.2489,2.354587E-8
106.2983,2.357922E-8
106.323,2.359589E-8
106.3476,2.36125E-8
106.3723,2.362917E-8
106.3969,2.364578E-8
106.4216,2.366246E-8
106.4462,2.367906E-8
106.4725,2.369682E-8
106.4988,2.371457E-8
106.5251,2.373233E-8
106.5514,2.375008E-8
106.5748,2.376588E-8
106.5981,2.378161E-8
106.6447,2.381307E-8
106.6914,2.38446E-8
106.738,2.387606E-8
106.792,2.391251E-8
106.8459,2.39489E-8
106.8998,2.398528E-8
106.9537,2.402167E-8
106.9807,2.40399E-8
107.0076,2.405806E-8
